Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
BTCUSD,FB_15M_1M,BTCUSD_FB_15M_1M,5,4,1,80.0,65.92699999999897,112.91399999999996,46.98700000000099,2.4030902164427945,13.185399999999794,13.185399999999794
TSLA,TB_15M_1M,TSLA_TB_15M_1M,1,1,0,100.0,60.80000000000041,60.80000000000041,0.0,999.99,60.80000000000041,60.80000000000041
GBPUSD,TB_15M_1M,GBPUSD_TB_15M_1M,5,2,3,40.0,53.80000000000384,59.80000000000096,5.999999999997119,9.966666666671614,10.760000000000769,10.760000000000769
AVGO,TB_15M_1M,AVGO_TB_15M_1M,1,1,0,100.0,50.400000000000205,50.400000000000205,0.0,999.99,50.400000000000205,50.400000000000205
BTCJPY,TB_15M_1M,BTCJPY_TB_15M_1M,3,2,1,66.66666666666666,50.083148379415434,59.818302996577,9.735154617161566,6.14456630109671,16.694382793138477,16.694382793138477
BTCAUD,FB_15M_1M,BTCAUD_FB_15M_1M,6,3,3,50.0,44.079924000017115,577.8097080000058,533.7297839999886,1.082588465776941,7.346654000002853,7.346654000002853
USDJPY,FB_4H_5M,USDJPY_FB_4H_5M,4,3,1,75.0,42.965388273812934,51.50670040053527,8.541312126722337,6.0303030303027425,10.741347068453234,10.741347068453234
USOIL,FB_4H_5M,USOIL_FB_4H_5M,2,1,1,50.0,42.60000000000019,59.10000000000011,16.499999999999915,3.581818181818207,21.300000000000097,21.300000000000097
EURAUD,TB_15M_1M,EURAUD_TB_15M_1M,2,2,0,100.0,42.54415199999866,42.54415199999866,0.0,999.99,21.27207599999933,21.27207599999933
COST,TB_15M_1M,COST_TB_15M_1M,1,1,0,100.0,41.49999999999977,41.49999999999977,0.0,999.99,41.49999999999977,41.49999999999977
GBPAUD,FB_4H_5M,GBPAUD_FB_4H_5M,3,2,1,66.66666666666666,38.557679999997205,53.39258399999862,14.834904000001414,3.5991189427308417,12.852559999999068,12.852559999999068
AVGO,FB_4H_5M,AVGO_FB_4H_5M,1,1,0,100.0,37.800000000000296,37.800000000000296,0.0,999.99,37.800000000000296,37.800000000000296
US30_x10,TB_4H_5M,US30_x10_TB_4H_5M,2,1,1,50.0,37.79999999999565,40.699999999997104,2.900000000001456,14.034482758612643,18.899999999997824,18.899999999997824
